Country Name,Country Code,Series Name,Series Code,2021 [YR2021]
"Korea, Rep.",KOR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
"Korea, Rep.",KOR,GDP per capita (current US$),NY.GDP.PCAP.CD,34997.7816427848
Kosovo,XKX,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Kosovo,XKX,GDP per capita (current US$),NY.GDP.PCAP.CD,5269.78390114389
Kuwait,KWT,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Kuwait,KWT,GDP per capita (current US$),NY.GDP.PCAP.CD,32186.7654076734
Kyrgyz Republic,KGZ,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,6.53140163421631
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,1306.17799234979
Lao PDR,LAO,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,1.85949182510376
Lao PDR,LAO,GDP per capita (current US$),NY.GDP.PCAP.CD,2535.62343427332
Latvia,LVA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.70073890686035
Latvia,LVA,GDP per capita (current US$),NY.GDP.PCAP.CD,21080.1774491839
Lebanon,LBN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Lebanon,LBN,GDP per capita (current US$),NY.GDP.PCAP.CD,4136.14657516013
Lesotho,LSO,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,7.50747919082642
Lesotho,LSO,GDP per capita (current US$),NY.GDP.PCAP.CD,1040.30862270774
Liberia,LBR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.53214001655579
Liberia,LBR,GDP per capita (current US$),NY.GDP.PCAP.CD,675.66318584916
Libya,LBY,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Libya,LBY,GDP per capita (current US$),NY.GDP.PCAP.CD,5908.9513231651
Liechtenstein,LIE,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Liechtenstein,LIE,GDP per capita (current US$),NY.GDP.PCAP.CD,184083.321373984
Lithuania,LTU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.84267044067383
Lithuania,LTU,GDP per capita (current US$),NY.GDP.PCAP.CD,23712.5357765275
